candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
"write,in",select_board,Write,6,1,2343,0.0426803243704652,652,0.153374233128834,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"write,in",select_board,Write,7,3,2038,0.14720314033366,378,0.793650793650794,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
blank,school_committee,Blanks,1,50,1890,2.64550264550265,390,12.8205128205128,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
blank,school_committee,Blanks,2,125,2346,5.32821824381927,876,14.2694063926941,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
blank,school_committee,Blanks,3,204,2582,7.90085205267235,1593,12.8060263653484,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
blank,school_committee,Blanks,4,180,2383,7.55350398657155,1161,15.5038759689922,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
blank,school_committee,Blanks,5,111,2384,4.65604026845638,999,11.1111111111111,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
blank,school_committee,Blanks,6,99,2343,4.22535211267606,978,10.1226993865031,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
blank,school_committee,Blanks,7,94,2038,4.61236506378803,567,16.5784832451499,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"courtney,barrieault",school_committee,Courtney,1,30,1890,1.58730158730159,390,7.69230769230769,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"courtney,barrieault",school_committee,Courtney,2,50,2346,2.13128729752771,876,5.70776255707763,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"courtney,barrieault",school_committee,Courtney,3,121,2582,4.6862896979086,1593,7.59573132454488,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"courtney,barrieault",school_committee,Courtney,4,102,2383,4.28031892572388,1161,8.78552971576227,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"courtney,barrieault",school_committee,Courtney,5,77,2384,3.22986577181208,999,7.70770770770771,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"courtney,barrieault",school_committee,Courtney,6,95,2343,4.0546308151942,978,9.71370143149284,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"courtney,barrieault",school_committee,Courtney,7,29,2038,1.42296368989205,567,5.11463844797178,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"victoria,j.,campbell",school_committee,Victoria,1,73,1890,3.86243386243386,390,18.7179487179487,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"victoria,j.,campbell",school_committee,Victoria,2,170,2346,7.2463768115942,876,19.4063926940639,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"victoria,j.,campbell",school_committee,Victoria,3,340,2582,13.1680867544539,1593,21.3433772755807,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
