candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
no,question_four,pct_5,453,2399,18.882867861609004,1571,28.83513685550605
no,question_four,pct_6,333,1602,20.786516853932586,1090,30.550458715596328
no,question_four,pct_6a,127,740,17.16216216216216,467,27.194860813704498
no,question_four,pct_7,412,2074,19.864995178399226,1224,33.66013071895425
blanks,question_five,pct_1,104,1930,5.3886010362694305,1072,9.701492537313433
blanks,question_five,pct_2,184,2317,7.941303409581356,1572,11.704834605597965
blanks,question_five,pct_3,0,2581,0,0,NA
blanks,question_five,pct_4,0,2368,0,0,NA
blanks,question_five,pct_5,0,2399,0,0,NA
blanks,question_five,pct_6,137,1602,8.551810237203496,1090,12.568807339449542
blanks,question_five,pct_6a,0,740,0,0,NA
blanks,question_five,pct_7,146,2074,7.03953712632594,1224,11.928104575163399
yes,question_five,pct_1,675,1930,34.97409326424871,1072,62.96641791044776
yes,question_five,pct_2,876,2317,37.807509710832974,1572,55.72519083969466
yes,question_five,pct_3,0,2581,0,0,NA
yes,question_five,pct_4,0,2368,0,0,NA
yes,question_five,pct_5,0,2399,0,0,NA
yes,question_five,pct_6,659,1602,41.13607990012484,1090,60.45871559633027
yes,question_five,pct_6a,0,740,0,0,NA
yes,question_five,pct_7,735,2074,35.43876567020251,1224,60.049019607843135
no,question_five,pct_1,293,1930,15.181347150259066,1072,27.33208955223881
no,question_five,pct_2,512,2317,22.097539922313338,1572,32.56997455470738
no,question_five,pct_3,0,2581,0,0,NA
no,question_five,pct_4,0,2368,0,0,NA
no,question_five,pct_5,0,2399,0,0,NA
no,question_five,pct_6,294,1602,18.352059925093634,1090,26.972477064220186
no,question_five,pct_6a,0,740,0,0,NA
no,question_five,pct_7,343,2074,16.538090646094503,1224,28.022875816993466
blanks,question_six,pct_1,98,1930,5.077720207253885,1072,9.14179104477612
blanks,question_six,pct_2,163,2317,7.034958998705222,1572,10.368956743002544
blanks,question_six,pct_3,0,2581,0,0,NA
blanks,question_six,pct_4,0,2368,0,0,NA
blanks,question_six,pct_5,0,2399,0,0,NA
blanks,question_six,pct_6,114,1602,7.116104868913857,1090,10.458715596330276
blanks,question_six,pct_6a,0,740,0,0,NA
blanks,question_six,pct_7,138,2074,6.653809064609451,1224,11.27450980392157
yes,question_six,pct_1,865,1930,44.81865284974093,1072,80.69029850746269
yes,question_six,pct_2,1275,2317,55.028053517479506,1572,81.10687022900763
yes,question_six,pct_3,0,2581,0,0,NA
yes,question_six,pct_4,0,2368,0,0,NA
yes,question_six,pct_5,0,2399,0,0,NA
yes,question_six,pct_6,894,1602,55.80524344569289,1090,82.01834862385321
yes,question_six,pct_6a,0,740,0,0,NA
yes,question_six,pct_7,977,2074,47.107039537126326,1224,79.8202614379085
no,question_six,pct_1,109,1930,5.647668393782383,1072,10.167910447761194
no,question_six,pct_2,134,2317,5.783340526542943,1572,8.524173027989821
no,question_six,pct_3,0,2581,0,0,NA
no,question_six,pct_4,0,2368,0,0,NA
no,question_six,pct_5,0,2399,0,0,NA
no,question_six,pct_6,82,1602,5.118601747815231,1090,7.522935779816514
no,question_six,pct_6a,0,740,0,0,NA
no,question_six,pct_7,109,2074,5.2555448408871746,1224,8.905228758169935
